[ 2026-04-17 10:49:08,858 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2026-04-17 10:49:18,039 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-17 10:49:20,235 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-17 10:49:20,235 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-17 10:49:20,238 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-17 10:49:20,357 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-17 10:49:20,358 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-17 10:49:20,368 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-17 10:49:20,526 ] 32 root - INFO - Required number of columns:2
[ 2026-04-17 10:49:20,527 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-17 10:49:20,527 ] 32 root - INFO - Required number of columns:2
[ 2026-04-17 10:49:20,527 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-17 10:49:20,730 ] 28 root - INFO - data Validation Completed
[ 2026-04-17 10:49:20,731 ] 31 root - INFO - data Transformation started
[ 2026-04-17 10:49:20,731 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-17 10:49:20,731 ] 65 root - INFO - Starting data transformation
[ 2026-04-17 10:49:20,757 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-17 10:49:20,757 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-17 10:49:20,771 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-17 10:49:20,774 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-17 10:49:20,774 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-17 10:49:20,778 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-17 10:49:20,779 ] 35 root - INFO - data Transformation completed
[ 2026-04-17 10:49:20,779 ] 37 root - INFO - Model Training sstared
